## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bam_rg/11871N.rg.bam --OUTPUT dedup/11871N.dedup.bam --METRICS_FILE metrics/11871N.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 05 14:30:02 CDT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
WES	58773	34746716	956149	143339	30633	4298469	0	0.124045	128599479

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	26547263	26547263
2.0	1.763232	3548046	3548046
3.0	2.345755	313217	313217
4.0	2.790355	35475	35475
5.0	3.129688	3733	3733
6.0	3.388678	455	455
7.0	3.586347	49	49
8.0	3.737215	9	9
9.0	3.852362	0	0
10.0	3.940246	0	0
11.0	4.007321	0	0
12.0	4.058516	0	0
13.0	4.097589	0	0
14.0	4.127411	0	0
15.0	4.150172	0	0
16.0	4.167544	0	0
17.0	4.180803	0	0
18.0	4.190922	0	0
19.0	4.198646	0	0
20.0	4.204541	0	0
21.0	4.20904	0	0
22.0	4.212474	0	0
23.0	4.215094	0	0
24.0	4.217095	0	0
25.0	4.218622	0	0
26.0	4.219787	0	0
27.0	4.220676	0	0
28.0	4.221355	0	0
29.0	4.221873	0	0
30.0	4.222268	0	0
31.0	4.22257	0	0
32.0	4.2228	0	0
33.0	4.222976	0	0
34.0	4.22311	0	0
35.0	4.223213	0	0
36.0	4.223291	0	0
37.0	4.223351	0	0
38.0	4.223396	0	0
39.0	4.223431	0	0
40.0	4.223457	0	0
41.0	4.223478	0	0
42.0	4.223493	0	0
43.0	4.223505	0	0
44.0	4.223514	0	0
45.0	4.223521	0	0
46.0	4.223526	0	0
47.0	4.22353	0	0
48.0	4.223533	0	0
49.0	4.223535	0	0
50.0	4.223537	0	0
51.0	4.223539	0	0
52.0	4.22354	0	0
53.0	4.22354	0	0
54.0	4.223541	0	0
55.0	4.223541	0	0
56.0	4.223542	0	0
57.0	4.223542	0	0
58.0	4.223542	0	0
59.0	4.223542	0	0
60.0	4.223543	0	0
61.0	4.223543	0	0
62.0	4.223543	0	0
63.0	4.223543	0	0
64.0	4.223543	0	0
65.0	4.223543	0	0
66.0	4.223543	0	0
67.0	4.223543	0	0
68.0	4.223543	0	0
69.0	4.223543	0	0
70.0	4.223543	0	0
71.0	4.223543	0	0
72.0	4.223543	0	0
73.0	4.223543	0	0
74.0	4.223543	0	0
75.0	4.223543	0	0
76.0	4.223543	0	0
77.0	4.223543	0	0
78.0	4.223543	0	0
79.0	4.223543	0	0
80.0	4.223543	0	0
81.0	4.223543	0	0
82.0	4.223543	0	0
83.0	4.223543	0	0
84.0	4.223543	0	0
85.0	4.223543	0	0
86.0	4.223543	0	0
87.0	4.223543	0	0
88.0	4.223543	0	0
89.0	4.223543	0	0
90.0	4.223543	0	0
91.0	4.223543	0	0
92.0	4.223543	0	0
93.0	4.223543	0	0
94.0	4.223543	0	0
95.0	4.223543	0	0
96.0	4.223543	0	0
97.0	4.223543	0	0
98.0	4.223543	0	0
99.0	4.223543	0	0
100.0	4.223543	0	0

